time,pg_cheap,pg_expensive,pg_fluc
0.0,1.7899879442585016,1.8783380057842862,2.0686995497751637
0.5,1.8784640065498721,1.8796160654914713,2.0706724059610466
1.0,1.8797666032600604,1.8808704713780708,2.075602377961641
1.5,1.87508719253089,1.876169409778188,2.0755624783283855
2.0,1.8704879895754434,1.8715874068764409,2.0756094397972955
2.5,1.8615476268917373,1.8626346242636715,2.0734857008145826
3.0,1.7662978563525913,1.9973493024895106,2.071944096872466
3.5,1.8459973430556083,1.984204642908748,2.069855478185156
4.0,1.8404423627713695,1.7542026681438836,2.0677692626388886
4.5,1.9651065225080677,1.7512703386782316,2.0640377110854002
5.0,1.968876095774281,1.7484976631102853,2.0623924798565016
5.5,1.9736620903949815,1.7455377189027266,2.0603728516581055
6.0,1.9800090813983455,1.742579730803868,2.0563066019100917
6.5,1.8503107267294594,1.7405014355845145,2.0591812675390284
7.0,1.9832371340475754,1.7394278656342503,2.064708842846315
7.5,1.9871641973463567,1.7425797308036177,2.0650061769624206
8.0,1.7453448411027277,1.9661451295062986,2.06458008711033
8.5,1.7512703386795287,1.9706331495002087,2.066595592680846
9.0,1.7572042729016542,1.8461433167915995,2.0686827553325693
9.5,1.7646334232458387,1.8538339867246363,2.0707683857456516
10.0,1.7722464606929664,1.861370627374047,2.0728722397331847
10.5,1.7810226782315375,1.8703460584987142,2.0749942618640675
11.0,1.7899879444728966,1.8791491100922824,2.077134396456007
11.5,1.7840091086677095,1.873043184129044,2.0793900008380897
