time,V_cheap,V_expensive,V_fluc
0.0,981.7477042468147,981.7477042468147,981.7477042468147
0.5,559.260704246819,917.2959842183664,1175.5048165592473
1.0,487.69354235734454,844.8715910015309,1390.5055253308096
1.5,408.1726021633122,764.4973592087989,1570.491603163127
2.0,353.2158849909759,708.6893888851712,1789.82753269787
2.5,322.7647076847387,677.3889920445865,2002.3018630796296
3.0,341.13477728154965,694.9118708667191,2246.5521837057586
3.5,48.64377728154855,1078.0508459600412,2531.3868817847647
4.0,148.91621314714794,1499.4080804998466,2854.852593373841
4.5,281.44810132138474,1271.915093445189,3208.4548294625924
5.0,759.582740363159,1060.671593445185,3583.585786742293
5.5,1248.7963682477907,865.6775934451871,3946.737267973683
6.0,1748.3806750596605,686.9330934451868,4325.171388477633
6.5,2257.153577817295,524.4380934451677,4719.719046541578
7.0,2447.2171391014745,370.06972138396117,5121.324793550945
7.5,2967.5660538186216,223.8242213839606,5530.127128610971
8.0,3470.8707242731534,61.32922138395814,5930.501959284334
8.5,3292.1262242731614,566.6662771186768,6341.220314790488
9.0,3080.8827242731577,1040.4919789097225,6757.330845265282
9.5,2837.140224273158,1154.6444205203425,7060.507608083257
10.0,2552.773974273164,1227.900405686348,7414.934207501834
10.5,2227.7839742731594,1260.3576344691187,7694.005281600959
11.0,1854.045474273161,1243.9888240966595,7951.135514853937
11.5,1431.5584742731612,1178.9106773265248,8150.006661240918
12.0,1041.5704742731655,1146.4869411692334,8406.887862017551
